,portfolio,date
0,10000.0,2017-01-03
1,10030.665517019515,2017-01-04
2,9995.978482970579,2017-01-05
3,10050.755470062462,2017-01-06
4,10016.901774091812,2017-01-09
5,10019.578393223805,2017-01-10
6,10083.598844225231,2017-01-11
7,10029.516245050745,2017-01-12
8,10053.38994521725,2017-01-13
9,10026.21102789732,2017-01-17
10,10044.0721579336,2017-01-18
11,10037.521482567501,2017-01-19
12,10083.94829572691,2017-01-20
13,10044.752526511185,2017-01-23
14,10153.383249746068,2017-01-24
15,10349.802558650586,2017-01-25
16,10355.613284329587,2017-01-26
17,10336.39337110338,2017-01-27
18,10230.46248354409,2017-01-30
19,10148.182245177588,2017-01-31
20,10244.435846605036,2017-02-01
21,10195.11862289633,2017-02-02
22,10211.450321805083,2017-02-03
23,10234.180428314263,2017-02-06
24,10289.651666755148,2017-02-07
25,10267.224548402657,2017-02-08
26,10325.284338523468,2017-02-09
27,10418.008246667072,2017-02-10
28,10533.493102875524,2017-02-13
29,10557.314460997179,2017-02-14
30,10606.348892789092,2017-02-15
31,10595.589630099541,2017-02-16
32,10651.525363498504,2017-02-17
33,10722.911769649107,2017-02-21
34,10715.205846032024,2017-02-22
35,10662.717949978985,2017-02-23
36,10669.277686621126,2017-02-24
37,10772.501423054497,2017-02-27
38,10768.469177311588,2017-02-28
39,10977.978807026031,2017-03-01
40,10796.42060069025,2017-03-02
41,10811.289420308975,2017-03-03
42,10788.77140679794,2017-03-06
43,10830.721045476681,2017-03-07
44,10736.560146712289,2017-03-08
45,10645.763930174699,2017-03-09
46,10638.163906740872,2017-03-10
47,10656.47612579934,2017-03-13
48,10618.548010662571,2017-03-14
49,10697.69911098255,2017-03-15
50,10673.981271190247,2017-03-16
51,10695.188078749243,2017-03-17
52,10792.557460073684,2017-03-20
53,10573.346358121958,2017-03-21
54,10629.640831588125,2017-03-22
55,10613.99921577201,2017-03-23
56,10576.397640062798,2017-03-24
57,10562.656621789098,2017-03-27
58,10704.702105396347,2017-03-28
59,10715.263955320737,2017-03-29
60,10732.674866063498,2017-03-30
61,10686.70854641643,2017-03-31
62,10664.407093660033,2017-04-03
63,10800.5230862271,2017-04-04
64,10769.905485130514,2017-04-05
65,10823.085925955733,2017-04-06
66,10832.31165272322,2017-04-07
67,10860.00698401858,2017-04-10
68,10847.062673581984,2017-04-11
69,10711.130741112536,2017-04-12
70,10620.664878436713,2017-04-13
71,10743.855270546192,2017-04-17
72,10717.424299568713,2017-04-18
73,10673.150267516126,2017-04-19
74,10813.60513055669,2017-04-20
75,10800.55044491896,2017-04-21
76,10970.793777742983,2017-04-24
77,11370.354314294513,2017-04-25
78,11345.52426019299,2017-04-26
79,11268.128375658858,2017-04-27
80,11257.473395050501,2017-04-28
81,11305.767518207676,2017-05-01
82,11317.167047260935,2017-05-02
83,11303.242073091324,2017-05-03
84,11177.411748508857,2017-05-04
85,11269.399574427885,2017-05-05
86,11366.392008224439,2017-05-08
87,11391.106864965663,2017-05-09
88,11420.211079871422,2017-05-10
89,11494.885802173367,2017-05-11
90,11548.44443753445,2017-05-12
91,11639.805987437776,2017-05-15
92,11630.471112586933,2017-05-16
93,11329.03494967274,2017-05-17
94,11381.023458106132,2017-05-18
95,11519.23959420885,2017-05-19
96,11552.63496345334,2017-05-22
97,11619.588978553988,2017-05-23
98,11638.856742664699,2017-05-24
99,11737.153500645722,2017-05-25
100,11762.036703642967,2017-05-26
101,11750.643127931033,2017-05-30
102,11713.733149868684,2017-05-31
103,11743.888122102058,2017-06-01
104,11834.55404486709,2017-06-02
105,11751.303421858462,2017-06-05
106,11719.001133878388,2017-06-06
107,11687.171348584572,2017-06-07
108,11769.038739383332,2017-06-08
109,11635.651591237582,2017-06-09
110,11542.499352701523,2017-06-12
111,11563.813886541566,2017-06-13
112,11459.540140585366,2017-06-14
113,11540.228574986462,2017-06-15
