,portfolio,date
0,10000.0,2017-01-03
1,10033.153531586984,2017-01-04
2,10025.581380114549,2017-01-05
3,10091.932348660663,2017-01-06
4,10103.852039815458,2017-01-09
5,10100.859378262765,2017-01-10
6,10143.783720519052,2017-01-11
7,10102.683601737308,2017-01-12
8,10123.167397835423,2017-01-13
9,10075.205633216265,2017-01-17
10,10100.571365020725,2017-01-18
11,10109.122438352613,2017-01-19
12,10175.74896945011,2017-01-20
13,10112.314937516436,2017-01-23
14,10238.917724557343,2017-01-24
15,10529.08629062149,2017-01-25
16,10568.141613870965,2017-01-26
17,10567.147383956168,2017-01-27
18,10439.858333537724,2017-01-30
19,10344.373645691181,2017-01-31
20,10483.012717600028,2017-02-01
21,10417.337814803763,2017-02-02
22,10424.210453577276,2017-02-03
23,10496.712339798,2017-02-06
24,10606.043139573147,2017-02-07
25,10566.805483660966,2017-02-08
26,10618.963752523687,2017-02-09
27,10718.574971406215,2017-02-10
28,10839.07522517263,2017-02-13
29,10889.330823063488,2017-02-14
30,10960.090537698388,2017-02-15
31,11009.176526194351,2017-02-16
32,11091.96737109924,2017-02-17
33,11191.185230587205,2017-02-21
34,11176.66312629823,2017-02-22
35,11247.121650435802,2017-02-23
36,11274.54462658747,2017-02-24
37,11376.068775863485,2017-02-27
38,11406.022683843023,2017-02-28
39,11586.213621011557,2017-03-01
40,11508.969418039798,2017-03-02
41,11550.909886879906,2017-03-03
42,11490.005375950153,2017-03-06
43,11462.10516794631,2017-03-07
44,11454.37617003343,2017-03-08
45,11462.201990808475,2017-03-09
46,11486.824085907434,2017-03-10
47,11475.731531481522,2017-03-13
48,11449.848488728521,2017-03-14
49,11505.696783693824,2017-03-15
50,11439.2000676291,2017-03-16
51,11151.139658270195,2017-03-17
52,11138.363477801178,2017-03-20
53,10951.33109787193,2017-03-21
54,11003.946600806545,2017-03-22
55,10991.96547995312,2017-03-23
56,10932.337932836326,2017-03-24
57,10930.254011944118,2017-03-27
58,11014.263239075684,2017-03-28
59,11015.101061753476,2017-03-29
60,11035.78460487679,2017-03-30
61,10975.807267617378,2017-03-31
62,10964.53422390689,2017-04-03
63,11084.549065003564,2017-04-04
64,10994.198458476543,2017-04-05
65,11007.61725928154,2017-04-06
66,11076.31633623236,2017-04-07
67,11013.318198805613,2017-04-10
68,11044.606160069783,2017-04-11
69,10916.046445703068,2017-04-12
70,10880.314043034527,2017-04-13
71,11062.41244133214,2017-04-17
72,10996.404209953136,2017-04-18
73,11014.552847651197,2017-04-19
74,11084.943551174185,2017-04-20
75,11136.18847733885,2017-04-21
76,11239.69841790202,2017-04-24
77,11324.779276419193,2017-04-25
78,11222.853194076188,2017-04-26
79,11299.61413217478,2017-04-27
80,11377.593040733207,2017-04-28
81,11300.273690290252,2017-05-01
82,11366.481359831067,2017-05-02
83,11357.230266773196,2017-05-03
84,11333.345761448638,2017-05-04
85,11466.121678556972,2017-05-05
86,11574.984597336328,2017-05-08
87,11632.635599615298,2017-05-09
88,11506.509927752339,2017-05-10
89,11560.753019736105,2017-05-11
90,11557.327336808874,2017-05-12
91,11508.535287275225,2017-05-15
92,11520.207609123787,2017-05-16
93,11243.767180829784,2017-05-17
94,11216.984320912177,2017-05-18
95,11387.762612653874,2017-05-19
96,11544.230454092156,2017-05-22
97,11532.42016319421,2017-05-23
98,11609.309225643272,2017-05-24
99,11706.18900015524,2017-05-25
100,11678.515551166853,2017-05-26
101,11692.256242278247,2017-05-30
102,11716.855354346722,2017-05-31
103,11713.525105767312,2017-06-01
104,11888.925772539216,2017-06-02
105,11810.214726531083,2017-06-05
106,11706.016564490348,2017-06-06
107,11791.044856769417,2017-06-07
108,11878.158516367099,2017-06-08
109,11822.13089488449,2017-06-09
110,11789.149644289995,2017-06-12
111,11849.984642765192,2017-06-13
112,11899.170883619856,2017-06-14
113,12033.933567066748,2017-06-15
114,12060.389748756566,2017-06-16
115,12232.155399837893,2017-06-19
116,12203.319642170498,2017-06-20
117,12295.424786616757,2017-06-21
118,12322.105861101309,2017-06-22
119,12462.470641074822,2017-06-23
120,12349.708353366312,2017-06-26
121,12263.791863616592,2017-06-27
122,12334.310433449396,2017-06-28
123,12203.138765863709,2017-06-29
124,12216.187174533095,2017-06-30
125,12264.414875988417,2017-07-03
126,12447.751530698328,2017-07-05
127,12407.905813140822,2017-07-06
128,12458.190172767389,2017-07-07
129,12552.995275056492,2017-07-10
130,12686.911593811003,2017-07-11
131,12698.879977587043,2017-07-12
132,12701.50394535407,2017-07-13
133,12838.080268380088,2017-07-14
134,12868.036118876522,2017-07-17
135,12827.865711942655,2017-07-18
136,12984.517379842096,2017-07-19
137,12949.40086876038,2017-07-20
138,13057.855808643779,2017-07-21
139,13058.37166517693,2017-07-24
140,13075.306890413778,2017-07-25
141,14290.249333004176,2017-07-26
142,14724.840686081348,2017-07-27
143,14738.259178854887,2017-07-28
144,14806.057607536419,2017-07-31
145,14633.976518293946,2017-08-01
146,14551.804021898233,2017-08-02
147,14569.071115362169,2017-08-03
148,14536.684298023614,2017-08-04
149,14686.0586753446,2017-08-07
150,14643.884278656204,2017-08-08
151,14425.659426274602,2017-08-09
152,14328.384330658508,2017-08-10
153,14444.399419944895,2017-08-11
154,14584.881078704708,2017-08-14
155,14704.528436920931,2017-08-15
156,14621.301108651396,2017-08-16
157,14489.100654655122,2017-08-17
158,14493.089714045953,2017-08-18
159,14488.407736816986,2017-08-21
160,14736.600739037294,2017-08-22
161,14637.839593994782,2017-08-23
162,14677.262938154201,2017-08-24
163,14514.184828751693,2017-08-25
164,14593.225111950765,2017-08-28
165,14787.887402135508,2017-08-29
166,14790.19627221575,2017-08-30
167,14756.468268907183,2017-08-31
168,14798.780069189786,2017-09-01
169,14595.947240196077,2017-09-05
170,14451.561434634177,2017-09-06
171,14553.622453749886,2017-09-07
172,14701.319136013162,2017-09-08
173,14814.76733320364,2017-09-11
174,14813.740388481796,2017-09-12
175,14884.909484523247,2017-09-13
176,15070.357814830328,2017-09-14
177,15278.573929177031,2017-09-15
178,15504.933785923913,2017-09-18
179,15469.007457342883,2017-09-19
180,15638.055944580785,2017-09-20
181,15669.71286364689,2017-09-21
182,15692.706714239863,2017-09-22
183,15566.836283457284,2017-09-25
184,15537.741877065951,2017-09-26
185,15636.127747797687,2017-09-27
186,15575.37766214851,2017-09-28
187,15575.055903726958,2017-09-29
188,15678.691899352872,2017-10-02
189,15659.344809268709,2017-10-03
190,15671.121139480749,2017-10-04
191,15851.877824839428,2017-10-05
192,15837.764313478241,2017-10-06
193,15831.53641508418,2017-10-09
194,15973.580892893859,2017-10-10
195,15996.50732108465,2017-10-11
196,16014.046634753591,2017-10-12
197,15966.107371045064,2017-10-13
198,15900.290508979699,2017-10-16
199,15860.231179304796,2017-10-17
200,15972.80058943329,2017-10-18
201,15899.733307519731,2017-10-19
202,16167.734817911045,2017-10-20
203,16015.366181448957,2017-10-23
204,16196.641828436062,2017-10-24
205,15797.58246032044,2017-10-25
206,15856.849732838848,2017-10-26
207,15713.317747518213,2017-10-27
208,15854.49916351763,2017-10-30
209,15812.597100135928,2017-10-31
210,15832.84487449073,2017-11-01
211,16057.15027276389,2017-11-02
212,16048.297297855992,2017-11-03
213,16175.826486105367,2017-11-06
214,16294.429292296227,2017-11-07
215,16282.096356257867,2017-11-08
216,16200.91839138259,2017-11-09
217,16090.6897642976,2017-11-10
218,16167.776241560758,2017-11-13
219,16108.430354772197,2017-11-14
220,16148.561911176319,2017-11-15
221,16213.946003691166,2017-11-16
222,16127.492326872036,2017-11-17
223,16247.343697471257,2017-11-20
224,16404.812719622805,2017-11-21
225,16321.902279048318,2017-11-22
226,16361.477110073078,2017-11-24
227,16339.436898270473,2017-11-27
228,16471.930466201848,2017-11-28
229,16540.567348436634,2017-11-29
230,16968.805797948695,2017-11-30
231,16683.906947169875,2017-12-01
232,17029.023221478717,2017-12-04
233,16906.326799379684,2017-12-05
234,17031.380587555246,2017-12-06
235,17214.099771496178,2017-12-07
236,17429.822504198502,2017-12-08
237,17312.010440903083,2017-12-11
238,17654.144634433702,2017-12-12
239,17735.897244051845,2017-12-13
240,17812.87823367259,2017-12-14
241,17851.950746763712,2017-12-15
242,17975.002487638412,2017-12-18
243,18021.31201918079,2017-12-19
244,18048.65823646446,2017-12-20
245,17899.9123135922,2017-12-21
246,17907.476608124398,2017-12-22
247,17914.253054403038,2017-12-26
248,17936.918922485016,2017-12-27
249,17959.988485165366,2017-12-28
250,17867.423290470717,2017-12-29
251,17988.682883525424,2018-01-02
252,18097.994877957713,2018-01-03
253,18083.41143452505,2018-01-04
254,18619.441469314184,2018-01-05
255,18657.53975422102,2018-01-08
256,19054.743417162616,2018-01-09
257,19134.51000645505,2018-01-10
258,19403.647161999663,2018-01-11
259,19743.745161989023,2018-01-12
260,19703.584189041878,2018-01-16
261,20305.08137779504,2018-01-17
262,19960.579806090227,2018-01-18
263,19870.447109076544,2018-01-19
264,20028.896475078236,2018-01-22
265,19951.200205315625,2018-01-23
266,19993.664056236892,2018-01-24
267,20068.514101066634,2018-01-25
268,20375.5111772118,2018-01-26
269,20349.347438405635,2018-01-29
270,19949.068978245872,2018-01-30
271,19764.78638898128,2018-01-31
272,19764.37632564343,2018-02-01
273,19401.157738101065,2018-02-02
274,18444.518155073703,2018-02-05
275,18864.261976296886,2018-02-06
276,18848.47666912599,2018-02-07
277,18183.598706068344,2018-02-08
278,18390.9825180743,2018-02-09
279,18694.145932143543,2018-02-12
280,18762.66726383187,2018-02-13
281,18954.876024399582,2018-02-14
282,19353.896731883873,2018-02-15
283,19332.57881738987,2018-02-16
284,19229.95984496964,2018-02-20
285,19084.542919382122,2018-02-21
286,19212.808800029157,2018-02-22
287,19471.663109224934,2018-02-23
288,19840.56674737402,2018-02-26
289,19682.004265426043,2018-02-27
290,19522.635882712668,2018-02-28
291,19190.822705637496,2018-03-01
292,19135.495386963303,2018-03-02
293,19402.630380873954,2018-03-05
294,19308.918120813454,2018-03-06
295,19214.64526773612,2018-03-07
296,19308.25980662338,2018-03-08
297,19678.271196868613,2018-03-09
298,19421.39944163316,2018-03-12
299,19176.459366178024,2018-03-13
300,18847.69070266757,2018-03-14
301,18844.39288157114,2018-03-15
302,18849.41384837988,2018-03-16
303,18767.400507630602,2018-03-19
304,18983.96569951565,2018-03-20
305,18862.333233549794,2018-03-21
306,18078.31347207751,2018-03-22
