,portfolio,date
0,10000.0,2017-01-03
1,10028.914818866475,2017-01-04
2,10004.071265023114,2017-01-05
3,10042.364650726231,2017-01-06
4,10008.549227824667,2017-01-09
5,10000.707806938153,2017-01-10
6,10079.947782796384,2017-01-11
7,10030.425228306827,2017-01-12
8,10029.189367328556,2017-01-13
9,9902.047023114697,2017-01-17
10,9913.271026970177,2017-01-18
11,9873.665843674464,2017-01-19
12,9931.88780371091,2017-01-20
13,9916.953164819752,2017-01-23
14,10042.17323267672,2017-01-24
15,10157.354865052124,2017-01-25
16,10156.186367578297,2017-01-26
17,10168.554011808112,2017-01-27
18,10079.726475402744,2017-01-30
19,10005.51516365415,2017-01-31
20,10025.161784463884,2017-02-01
21,9981.200249394476,2017-02-02
22,10051.934516504109,2017-02-03
23,10074.975111864938,2017-02-06
24,10144.16040378225,2017-02-07
25,10107.211760546139,2017-02-08
26,10166.628221396955,2017-02-09
27,10221.670580143613,2017-02-10
28,10313.389970647615,2017-02-13
29,10371.314872845971,2017-02-14
30,10417.774432533359,2017-02-15
31,10442.402170446514,2017-02-16
32,10502.461466418277,2017-02-17
33,10597.566548971277,2017-02-21
34,10591.452430299254,2017-02-22
35,10629.023072246326,2017-02-23
36,10631.213271336459,2017-02-24
37,10694.324619380233,2017-02-27
38,10695.045164307729,2017-02-28
39,10897.043224773628,2017-03-01
40,10772.686195649932,2017-03-02
41,10789.248025866997,2017-03-03
42,10766.341424054468,2017-03-06
43,10748.425686973402,2017-03-07
44,10693.223901230069,2017-03-08
45,10695.44340906255,2017-03-09
46,10730.098442250619,2017-03-10
47,10702.949451079188,2017-03-13
48,10665.734069474132,2017-03-14
49,10720.93054246791,2017-03-15
50,10707.425970802098,2017-03-16
51,10642.969837446752,2017-03-17
52,10649.145646947736,2017-03-20
53,10472.936116014169,2017-03-21
54,10490.04196695382,2017-03-22
55,10491.124749940313,2017-03-23
56,10463.892337325531,2017-03-24
57,10391.017254452949,2017-03-27
58,10525.384538946033,2017-03-28
59,10508.068452849922,2017-03-29
60,10565.717021431767,2017-03-30
61,10538.098188502467,2017-03-31
62,10508.360892822611,2017-04-03
63,10572.037210115077,2017-04-04
64,10545.588225506064,2017-04-05
65,10577.072406058132,2017-04-06
66,10547.344367030399,2017-04-07
67,10572.816383085981,2017-04-10
68,10543.447109375731,2017-04-11
69,10464.651606878018,2017-04-12
70,10373.289331113925,2017-04-13
71,10454.108497492996,2017-04-17
72,10373.64693600357,2017-04-18
73,10332.58737905793,2017-04-19
74,10434.074896525384,2017-04-20
75,10398.723540623916,2017-04-21
76,10509.062052652836,2017-04-24
77,10819.635903472756,2017-04-25
78,10820.490250694458,2017-04-26
79,10760.282991923019,2017-04-27
80,10735.155512186699,2017-04-28
81,10700.665873075406,2017-05-01
82,10695.59315032941,2017-05-02
83,10614.630468549478,2017-05-03
84,10529.504657453504,2017-05-04
85,10592.783227269289,2017-05-05
86,10607.322136472863,2017-05-08
87,10619.72027853866,2017-05-09
88,10602.818755215503,2017-05-10
89,10615.209193566468,2017-05-11
90,10614.499899396666,2017-05-12
91,10672.036186751324,2017-05-15
92,10678.645141571105,2017-05-16
93,10472.85110036585,2017-05-17
94,10413.187848132178,2017-05-18
95,10535.59595049487,2017-05-19
96,10582.717749848482,2017-05-22
97,10602.484224006577,2017-05-23
98,10639.469170065973,2017-05-24
99,10722.857761018566,2017-05-25
100,10711.559909951528,2017-05-26
101,10701.873754324866,2017-05-30
102,10707.759185719344,2017-05-31
103,10731.172826072992,2017-06-01
104,10817.28451412235,2017-06-02
105,10761.049524942051,2017-06-05
106,10688.27226364298,2017-06-06
107,10692.063160707337,2017-06-07
