,portfolio,date
0,10000.0,2017-01-03
1,10025.694752340827,2017-01-04
2,10024.569892976906,2017-01-05
3,10090.038173692792,2017-01-06
4,10071.634804967327,2017-01-09
5,10041.213545511779,2017-01-10
6,10101.584220383857,2017-01-11
7,10073.467425714172,2017-01-12
8,10076.121889034299,2017-01-13
9,10065.176416107526,2017-01-17
10,10082.52960183469,2017-01-18
11,10066.388524793056,2017-01-19
12,10139.250010187776,2017-01-20
13,10105.752913047934,2017-01-23
14,10187.799233160162,2017-01-24
15,10321.924299781167,2017-01-25
16,10323.525373240724,2017-01-26
17,10363.157117019175,2017-01-27
18,10295.568096989637,2017-01-30
19,10266.08215389869,2017-01-31
20,10291.020734874339,2017-02-01
21,10282.840963429078,2017-02-02
22,10334.160869771422,2017-02-03
23,10323.033302212676,2017-02-06
24,10351.873185923128,2017-02-07
25,10372.709621629294,2017-02-08
26,10421.851024872012,2017-02-09
27,10489.213655138778,2017-02-10
28,10575.669439675166,2017-02-13
29,10595.849712907891,2017-02-14
30,10645.998330307433,2017-02-15
31,10575.31425980283,2017-02-16
32,10610.702501847687,2017-02-17
33,10683.109397108728,2017-02-21
34,10654.554005613863,2017-02-22
35,10636.773911108507,2017-02-23
36,10613.622590077568,2017-02-24
37,10708.444351312872,2017-02-27
38,10719.855110070253,2017-02-28
39,10893.775735122239,2017-03-01
40,10762.8955013713,2017-03-02
41,10774.444775082644,2017-03-03
42,10738.493314454514,2017-03-06
43,10726.903147610712,2017-03-07
44,10629.367788471052,2017-03-08
45,10592.973302886603,2017-03-09
46,10605.681039242727,2017-03-10
47,10600.298975411704,2017-03-13
48,10554.326501261183,2017-03-14
49,10642.207695718425,2017-03-15
50,10631.521143099992,2017-03-16
51,10589.510765648229,2017-03-17
52,10637.68163865408,2017-03-20
53,10471.407960032157,2017-03-21
54,10483.716122585918,2017-03-22
55,10485.972016580123,2017-03-23
56,10475.09633063937,2017-03-24
57,10433.134532796143,2017-03-27
58,10529.77371504605,2017-03-28
59,10509.516262279407,2017-03-29
60,10546.4175314736,2017-03-30
61,10518.97341847725,2017-03-31
62,10489.370525863069,2017-04-03
63,10556.38488311569,2017-04-04
64,10504.074751082897,2017-04-05
65,10557.963911961233,2017-04-06
66,10553.014881257164,2017-04-07
67,10585.755927977238,2017-04-10
68,10561.105140271706,2017-04-11
69,10495.289540649406,2017-04-12
70,10405.617112276732,2017-04-13
71,10482.134805834115,2017-04-17
72,10364.625879042202,2017-04-18
73,10320.516726141417,2017-04-19
74,10462.259630423594,2017-04-20
75,10413.624664231469,2017-04-21
76,10597.200146898114,2017-04-24
77,10822.057825302601,2017-04-25
78,10811.028213403259,2017-04-26
79,10767.458133376205,2017-04-27
80,10760.111976635208,2017-04-28
81,10762.377168554409,2017-05-01
82,10785.251880314567,2017-05-02
83,10795.85627257376,2017-05-03
84,10746.879319519958,2017-05-04
85,10806.660830938394,2017-05-05
86,10864.997307481828,2017-05-08
87,10874.747747651734,2017-05-09
88,10851.260117278038,2017-05-10
89,10882.283528094898,2017-05-11
90,10906.311193289543,2017-05-12
91,10900.22497854727,2017-05-15
92,10908.230661615193,2017-05-16
93,10652.397915183026,2017-05-17
94,10628.568183111815,2017-05-18
95,10706.810658625778,2017-05-19
96,10757.15303391807,2017-05-22
97,10766.896486861782,2017-05-23
98,10799.57060986853,2017-05-24
99,10848.491956138269,2017-05-25
100,10817.261241905097,2017-05-26
101,10806.080949771713,2017-05-30
102,10811.042583960967,2017-05-31
103,10829.790780762229,2017-06-01
104,10926.743812206938,2017-06-02
105,10870.295169787074,2017-06-05
106,10798.919195194023,2017-06-06
107,10864.505380703664,2017-06-07
108,10942.397942541702,2017-06-08
109,10919.077077491562,2017-06-09
110,10884.128492349726,2017-06-12
111,10934.117440948774,2017-06-13
112,10973.47727462391,2017-06-14
113,11067.288166257302,2017-06-15
114,11071.374096054977,2017-06-16
115,11231.533563473542,2017-06-19
116,11210.362101867198,2017-06-20
117,11296.99834371164,2017-06-21
118,11349.6582866072,2017-06-22
119,11409.897612084485,2017-06-23
120,11372.400687037783,2017-06-26
121,11267.366337087764,2017-06-27
122,11372.29433702216,2017-06-28
123,11275.041263379178,2017-06-29
124,11306.694710661217,2017-06-30
125,11346.777340022063,2017-07-03
126,11446.230613880209,2017-07-05
127,11361.734418285449,2017-07-06
128,11398.835673401449,2017-07-07
129,11446.27717138314,2017-07-10
130,11511.611213101736,2017-07-11
131,11523.613426244787,2017-07-12
132,11588.849232062985,2017-07-13
133,11658.266989433592,2017-07-14
134,11671.086488334688,2017-07-17
135,11661.547325944637,2017-07-18
136,11736.840249199224,2017-07-19
137,11724.65821746526,2017-07-20
138,11719.907330351372,2017-07-21
139,11729.928532928287,2017-07-24
140,11890.338707008295,2017-07-25
141,11931.379982774915,2017-07-26
142,11939.803123575308,2017-07-27
143,11958.461077991524,2017-07-28
144,11989.742976899359,2017-07-31
145,11991.419081203887,2017-08-01
146,11970.497476546454,2017-08-02
147,11976.92042401659,2017-08-03
148,11991.470435058684,2017-08-04
149,11971.473769775354,2017-08-07
150,11981.081051308345,2017-08-08
151,11897.296701619807,2017-08-09
152,11756.524866905515,2017-08-10
153,11786.159559032843,2017-08-11
154,11862.702333564801,2017-08-14
155,11885.742757646716,2017-08-15
156,11920.850432087667,2017-08-16
157,11747.814107148411,2017-08-17
158,11719.361852213971,2017-08-18
159,11736.241241561851,2017-08-21
160,11914.052866252587,2017-08-22
161,11847.34986306607,2017-08-23
162,11888.33241159772,2017-08-24
163,11932.779514072754,2017-08-25
164,11937.509146423208,2017-08-28
165,11970.215228022847,2017-08-29
166,12054.747420229693,2017-08-30
167,12092.753802604133,2017-08-31
168,12136.597924674094,2017-09-01
169,12055.584841109901,2017-09-05
170,12029.591133416328,2017-09-06
171,12022.778413641456,2017-09-07
172,11996.875385100424,2017-09-08
173,12162.289040599806,2017-09-11
174,12199.877244911675,2017-09-12
175,12141.171276918147,2017-09-13
176,12160.066847936201,2017-09-14
177,12239.498787705432,2017-09-15
178,12346.38852884735,2017-09-18
179,12343.50657536972,2017-09-19
180,12382.05139973579,2017-09-20
181,12354.942599286067,2017-09-21
182,12360.086368726921,2017-09-22
183,12270.541013639067,2017-09-25
184,12277.673250318132,2017-09-26
185,12331.821832458443,2017-09-27
186,12307.19472338162,2017-09-28
187,12336.635719571528,2017-09-29
188,12391.134202071984,2017-10-02
189,12406.158420326852,2017-10-03
190,12407.983197519896,2017-10-04
191,12503.917429204646,2017-10-05
192,12512.073102477763,2017-10-06
193,12517.614546347577,2017-10-09
194,12587.402099415147,2017-10-10
195,12616.122405998356,2017-10-11
196,12627.173828115001,2017-10-12
197,12636.3666049614,2017-10-13
198,12659.885980714836,2017-10-16
199,12639.842471445876,2017-10-17
200,12707.773615779533,2017-10-18
201,12657.441692969991,2017-10-19
