,Gamma 0.1,Gamma 0.5,Gamma 0.9
0,26.437407,20.668266,6.8183618
1,29.955952,23.969208,3.1747856
2,29.491995,23.869488,4.2307243
3,29.93133,16.855688,4.960104
4,21.762957,21.780563,3.3354974
5,30.547457,24.73877,4.33446
6,31.931467,25.615356,4.5264955
7,21.959019,21.477398,3.0398169
8,28.820976,22.689285,5.4567413
9,24.061785,17.344036,6.0516624
10,33.219177,24.05924,5.9280815
11,28.210938,24.752495,5.6160626
12,25.510025,21.291027,7.2015696
13,24.756784,22.594645,5.021781
14,27.90661,22.413633,7.196431
15,28.708261,16.867697,5.791969
16,29.316008,21.431854,8.252296
17,29.60971,23.578442,7.633513
18,26.52743,19.06731,3.9810548
19,27.170994,24.380829,7.3832655
20,26.820871,20.494053,7.886859
21,28.159685,20.51448,1.3278999
22,33.548145,24.387917,9.056812
23,27.883415,24.511776,5.991239
24,34.663433,27.531828,4.5327864
25,23.829163,24.200312,2.0383868
26,28.88783,22.82629,6.134023
27,27.782513,23.14697,2.7834632
28,25.264576,18.432299,2.161766
29,32.28369,27.460312,8.229944
30,22.99033,20.063303,4.2915025
31,30.127935,22.240974,5.2547116
32,39.258698,26.978027,3.0298219
33,38.073048,28.498995,7.920829
34,27.734198,21.67835,4.504312
35,31.0758,26.202408,6.62239
36,29.630234,23.515585,6.814509
37,30.228226,22.27092,3.8939686
38,23.667376,20.122198,6.035516
39,28.327131,17.351686,2.5473766
40,28.9668,20.307932,5.919629
41,27.176918,21.347124,2.704921
42,22.198866,19.537258,1.3357825
43,27.742409,16.289688,5.166978
44,29.173693,24.464409,3.6130579
45,26.430346,22.468214,1.6035285
46,30.468803,25.884285,3.6984818
47,28.88389,19.924007,5.12493
48,26.82589,19.43293,3.1861293
49,31.353895,25.754063,6.7283425
50,35.712845,27.355062,8.92586
51,32.99169,20.075731,5.9249516
52,24.830305,19.009174,0.7400281
53,22.728275,23.22612,4.833867
54,28.717674,24.346924,6.8995705
55,22.818548,19.657038,2.9369068
56,31.361683,23.88886,6.39954
57,31.454775,22.25963,5.2117515
58,33.682766,20.066113,5.3596253
59,29.718515,26.012918,7.090165
60,31.036743,18.74787,7.1499557
61,26.11348,23.063564,6.50375
62,31.027588,26.586233,8.222017
63,30.804756,20.450953,5.569963
64,25.317717,24.324635,4.7711964
65,32.56782,22.341555,8.795824
66,25.197283,17.759615,0.36459678
67,29.810408,23.967133,6.8541374
68,28.304586,19.9535,5.7093954
69,32.28369,19.222042,3.3902652
70,30.81805,22.740837,4.465759
71,29.60236,20.029747,5.5370383
72,29.329674,22.452368,4.39201
73,31.311357,25.246952,9.523192
74,27.354536,17.750608,6.536888
75,25.082626,20.426874,6.817151
76,28.504025,21.21982,5.569592
77,31.02093,23.750221,6.723464
78,32.171345,22.756325,2.2597826
79,28.802862,23.087183,5.0368624
80,31.094416,27.35715,4.481188
81,31.924341,22.8594,6.315311
82,22.313261,14.996645,3.0485399
83,31.284088,23.204166,8.617484
84,28.240925,24.784399,6.166773
85,27.488953,19.597353,5.361449
86,25.823704,17.27956,5.619516
87,26.09632,20.356075,1.3689338
88,28.195377,22.29294,0.7671301
89,28.897984,19.25137,2.6648474
90,28.540558,28.224993,7.617098
91,27.301294,22.582214,6.101051
92,31.860224,21.828243,5.351683
93,31.675392,24.76696,6.1793094
94,29.093998,21.854372,5.712575
95,28.350311,21.312675,4.50389
96,24.11299,22.445292,5.501332
97,25.74355,24.826033,0.5089235
98,36.880287,25.57271,4.2288136
99,24.410284,20.833473,3.4439096
