,Lr 0.00025,Lr 0.1,Lr 0.01
0,18.59102,-2.6173873,14.400671
1,20.138945,-11.161955,4.671588
2,15.202585,19.61116,4.274511
3,21.55542,0.49385875,9.260302
4,14.459583,6.487988,11.598944
5,1.9101211,13.4885,15.5686035
6,21.84377,-3.0912828,3.1341977
7,18.962297,1.4385865,20.230387
8,15.479298,11.760279,13.544717
9,11.867604,0.22696108,24.757334
10,12.916769,3.0736938,15.147976
11,17.497118,8.603104,4.7376547
12,9.4240885,-3.3771586,1.2194769
13,17.624916,-4.210288,10.623883
14,17.35008,8.523427,10.947113
15,23.32151,9.754805,0.49041998
16,9.480327,4.351325,9.503481
17,17.083069,-2.343173,19.140472
18,15.606879,3.572207,11.702724
19,10.563396,9.244416,3.543873
20,13.313892,-7.0620356,5.431208
21,24.84493,-4.0981984,13.665971
22,9.162467,14.341378,11.510293
23,16.386375,2.5093899,13.743102
24,12.371237,0.33682504,10.427309
25,20.328602,-5.3134513,10.343543
26,21.511015,1.9545405,14.675284
27,14.862264,12.524057,2.3478632
28,12.684578,-0.051858723,1.9556403
29,21.280767,4.1247993,7.849612
30,16.368073,0.37907684,14.400248
31,9.17706,2.616159,6.358143
32,14.756796,3.113027,14.663461
33,5.1334267,15.762744,9.1819105
34,12.182243,1.1688821,12.28023
35,23.597889,8.677665,5.298327
36,17.844027,4.4031553,-0.8575028
37,10.382874,8.562681,3.557583
38,12.92877,3.6036627,5.6718316
39,8.77841,3.0073323,14.61579
40,18.464972,7.0730677,-0.64794576
41,30.921186,-3.740583,11.293672
42,17.008978,3.8938985,11.632663
43,17.237272,4.265228,3.7028832
44,15.547439,8.190257,-5.4684186
45,19.876816,7.082464,19.321978
46,6.261086,7.5285187,15.668225
47,14.783482,0.33690423,3.7195387
48,9.748098,4.4520683,19.428041
49,4.1934714,-6.556385,5.9060016
50,18.62003,16.692034,10.703696
51,15.640868,-0.13772231,10.534454
52,15.428663,4.2562313,7.1687193
53,12.860943,-7.2434807,11.146784
54,23.10641,11.906369,1.00144
55,12.904702,8.577593,8.542407
56,22.04636,-0.5887779,20.403404
57,11.329685,-1.9592675,0.833238
58,4.546847,10.868252,7.7941203
59,16.549702,0.7373161,9.960514
60,26.708786,-0.7830746,7.9907904
61,24.369123,1.9211606,16.456312
62,11.754927,1.2536342,12.615815
63,16.142378,-8.31427,22.443739
64,12.136177,-1.1112212,6.2054186
65,16.16897,-7.083233,0.9854201
66,16.31042,12.007906,-0.7331681
67,10.772634,-2.7963526,7.460701
68,22.337048,7.0210915,13.173741
69,22.499123,-2.3075233,12.746417
70,16.007376,4.8402743,8.080849
71,12.676965,3.3058698,11.5823345
72,18.001596,3.3195715,22.343513
73,10.495263,-11.427762,9.285027
74,6.37966,1.8790327,7.510851
75,12.9459505,-1.8294432,10.788222
76,14.210936,-2.9622107,0.81292653
77,1.2366968,-3.4762752,13.975611
78,10.2725315,-2.632388,21.689587
79,4.354947,4.2394624,9.464701
80,22.318583,3.483987,13.665931
81,14.834024,-0.5236276,1.5081842
82,19.550394,-10.203988,-3.905406
83,21.969282,5.517205,22.388302
84,13.150956,-3.0818584,15.254372
85,8.320413,-1.013555,11.352955
86,6.694347,-5.0603533,14.09589
87,17.204813,14.896933,15.773104
88,10.687019,-2.0982935,8.209745
89,8.510795,7.9916143,6.2012205
90,11.438962,-1.3810723,14.205218
91,9.770657,14.507236,25.395739
92,14.092253,4.98706,12.30835
93,15.185224,-14.825532,3.2680633
94,12.437666,15.839677,20.703234
95,12.3792925,5.8742824,20.334835
96,26.823895,13.758166,2.9988754
97,20.913849,-3.3458822,12.505345
98,16.25185,0.33226395,-0.09754379
99,6.37163,-2.6726327,10.78635
